amfi_code,cagr_1y,cagr_3y,cagr_since_start
100016,-0.02224270997710287,0.01292649342495622,0.026352458116335464
100025,0.03704968580461343,0.039163899571040384,0.04455091155784441
100033,0.5323239623092084,0.32442459421956116,0.30099703552874524
101206,0.4792412023860102,0.2896769452874166,0.23520488754230384
101207,-0.23986031710270628,-0.04152381044854481,0.07933120999915699
101208,0.0723664530138024,0.06315784491375509,0.06504429821332125
102885,0.20207703983094838,0.1966726206830185,0.18218826089343754
102886,-0.16797480944407306,-0.007674063178547241,0.0117093879842316
102887,0.135831349444816,0.25556187904126526,0.16828673461948984
118632,0.339810484550213,0.22652359830098634,0.2403119561352478
118633,0.25539980483954094,0.2108997654925684,0.16262218000296524
118634,0.15811221971300937,0.08007927728656083,0.16361396476593382
118635,0.22493224932249345,0.20008208380471482,0.15945481185082522
118636,0.10454939683040276,0.040622050237771434,0.053131554027608274
119092,0.016091186722522632,0.005258871209757432,0.0636349475771898
119093,0.197667410165155,0.20816771175535864,0.07891944369437343
119094,0.22261065131342206,0.35111802096428524,0.28192608222062465
119095,-0.427976145588544,-0.11705806723995271,0.015204552427132478
119120,0.055219955107626895,0.05840358798463097,0.05885271270380055
119551,0.6043734071403091,0.3045652442030289,0.2578492084946409
119552,0.05706100044974027,0.16267372294624916,0.21508021785499332
119598,0.8277605861507404,0.2666992200118774,0.3239808398464554
119599,0.1394780335518997,-0.01337386614488112,0.02053064146209893
120503,0.08489081269294418,0.13978381933703043,0.18771330105513617
120504,0.13064279264417977,0.3248742855621496,0.2327744753273051
120505,0.29604659337893646,0.317775371512347,0.3280159948038617
120506,0.4181904829701364,0.1842199653744454,0.17072227512921923
120507,0.0742505077613469,0.07394286300360076,0.0723241093234459
120841,0.16837098075385626,0.1726727508371786,0.13522349085511554
120842,0.2250195657587366,0.07756003551327284,0.06696806255006482
120843,0.26657081760850154,0.2958277033726251,0.30883325525154603
120844,0.07120323042122512,0.06695971624586994,0.0691037983940288
125497,0.2867535802656873,0.18434488610520172,0.19003613208378556
125498,0.15443720834451846,0.11245222866621418,0.11293660210400969
148567,0.20360678307711866,0.3400091602163293,0.30949920362874206
148568,0.14269394138778924,0.14748035533586012,0.22499840384352243
148569,0.3975176148971702,0.2917890157839378,0.31924485848158723
149322,0.1811115252275146,0.18044206486636138,0.13383520958789363
149323,0.21481222193726257,0.268699908289022,0.29558105232568344
149324,0.6513871892998797,0.27000426614519246,0.3226210752841656
