amfi_code,sharpe_ratio
148567,1.4482911703262524
120843,1.3067439695428402
148569,1.2349300257743314
119551,1.2082665673727133
120505,1.1801011976606468
149323,1.1321218524747205
100033,1.0936987435346321
118632,1.081659179345703
101206,1.0272133278753703
120504,1.0265242847992977
119094,0.9982309868636401
119552,0.9532794968660092
149324,0.9497958246616012
119598,0.945308257515609
148568,0.9262873467360145
102885,0.8170993373494359
120503,0.7979728586052828
125497,0.7757902498211189
118635,0.6648569985490603
120506,0.6488787755249533
118633,0.6452074382933195
102887,0.6195175900829826
120507,0.4957233929519075
120841,0.4942725378672314
149322,0.4640374492204746
118634,0.4484340089089896
125498,0.30061192104254464
101207,0.16266076928646744
119093,0.12961449795668878
120842,0.07599984804658422
119092,0.03078485095458389
119599,-0.05718662582818192
119095,-0.07597357117478928
120844,-0.0887472962169807
100016,-0.20151706755966997
102886,-0.20583160785470495
119120,-0.22657538662794552
118636,-0.3566295075144005
100025,-0.5670947928477079
101208,-0.8155673679101645
