amfi_code,alpha,beta,alpha_rank,beta_rank
119598,0.30336965386983256,-0.023196062044059555,1.0,30.0
149324,0.30057878170976665,0.011455159960520966,2.0,13.0
120505,0.29263583341750954,0.0005490042506316432,3.0,19.0
148569,0.2827036785246577,0.01813388408385938,4.0,9.0
120843,0.2733046503830598,-0.02282956979242659,5.0,29.0
100033,0.271953545012853,0.005103525830528331,6.0,16.0
148567,0.26983751441917886,0.023683558075848547,7.0,7.0
149323,0.26598577542042906,-0.0025230046646988846,8.0,24.0
119094,0.26076669080042136,-0.06626542862803701,9.0,39.0
119551,0.2320100716063496,-0.031751441138909514,10.0,33.0
118632,0.2182939790460857,-0.008353832126962035,11.0,27.0
101206,0.2139978477605115,0.021086316250127884,12.0,8.0
120504,0.21194827013525636,0.016232169761416906,13.0,12.0
148568,0.20873010086942273,-0.02638771994384282,14.0,32.0
119552,0.19868599366862885,-0.026159307513513207,15.0,31.0
125497,0.17729754927531685,0.04882040425957711,16.0,3.0
120503,0.1770330236584399,-0.04026895236982023,17.0,35.0
118634,0.17500721675611194,0.10349663691337538,18.0,1.0
102885,0.1704875680341263,-0.01948678568947457,19.0,28.0
120506,0.16253853279981,0.04189646272811959,20.0,4.0
102887,0.16211256794033213,0.016682689437770737,21.0,11.0
118633,0.1564383594816961,-0.03663900671860916,22.0,34.0
118635,0.15136354648239184,-0.0014335213897801388,23.0,23.0
149322,0.1317319022609936,-0.004050271130006783,24.0,25.0
120841,0.13042924450705362,0.036356399022199525,25.0,5.0
125498,0.11989100971217899,0.00905441262173925,26.0,15.0
101207,0.10897091901704521,-0.065289247883515,27.0,38.0
119093,0.08232801295222025,0.025883212440092753,28.0,6.0
120842,0.07804438876154987,0.018056874208118145,29.0,10.0
119092,0.0689952982167752,0.009730745001153574,30.0,14.0
120507,0.06746210411098824,-0.0004440926329706654,31.0,22.0
120844,0.0645567749537528,-0.00040074423947835796,32.0,21.0
101208,0.060861457957864774,0.00026670968338229613,33.0,20.0
119120,0.056208952166382664,-0.006413850728276532,34.0,26.0
118636,0.050747729999759995,0.0012566742731554862,35.0,17.0
119599,0.0488242159455394,0.06200180438267137,36.0,2.0
119095,0.04801595363775957,-0.06695117463929194,37.0,40.0
100025,0.0428179203150603,0.0011582183155282452,38.0,18.0
100016,0.03747580763443287,-0.05826843143880886,39.0,37.0
102886,0.028969397866379254,-0.04212502902189416,40.0,36.0
